txtStim,stimFile,AI_Resp,ExplanationFile,,,,,,,Is AI response accurate?,Is image authentic?
Question 1:,stim/Tp_D_CRN_M_N_arc00073_arc00072_10267.tif,"The AI system has determined that the above image is not authentic. 
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_arc00073_arc00072_10267.tif.png,,,,,,,1,0
Question 2:,stim/Tp_D_CRN_M_N_nat10154_nat10140_12075.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_nat10154_nat10140_12075.jpg.png,,,,,,,1,0
Question 3:,stim/Au_arc_30718.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/converational_Au_arc_30718.jpg.png,,,,,,,0,1
Question 4:,stim/Tp_D_CRN_M_N_nat10157_nat00013_12048.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_nat10157_nat00013_12048.jpg.png,,,,,,,0,0
Question 5:,stim/Tp_D_CRN_M_N_txt00017_txt00063_10836.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_txt00017_txt00063_10836.jpg.png,,,,,,,1,0
Question 6:,stim/Tp_D_CRN_S_N_ani10205_ani10206_12417.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_S_N_ani10205_ani10206_12417.jpg.png,,,,,,,0,0
Question 7:,stim/Tp_D_CRN_M_N_nat10154_nat10138_12076.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_nat10154_nat10138_12076.jpg.png,,,,,,,1,0
Question 8:,stim/Au_art_20073.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_art_20073.jpg.png,,,,,,,1,1
Question 9:,stim/Au_art_10107.jpg,"The AI system has determined that the above image is  authentic.
Do you accept or deny this claim?",stim/convesational_Au_art_10107.jpg.png,,,,,,,1,1
Question 10:,stim/Tp_D_CRN_S_N_cha10149_cha10148_12225.jpg,"The AI system has determined that the above image is  authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_S_N_cha10149_cha10148_12225.jpg.png,,,,,,,0,0
Question 11:,stim/Au_ani_10104.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_ani_10104.jpg.png,,,,,,,1,1
Question 12:,stim/Tp_D_CRN_M_N_pla00010_pla00020_10001.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_pla00010_pla00020_10001.tif.png,,,,,,,1,0
Question 13: ,stim/Au_arc_30696.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Au_arc_30696.jpg.png,,,,,,,0,1
Question 14:,stim/Tp_D_CRN_M_N_pla00026_pla00038_10147.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_pla00026_pla00038_10147.tif.png,,,,,,,1,0
Question 15:,stim/Au_arc_30720.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_arc_30720.jpg.png,,,,,,,1,1
Question 16:,stim/Au_art_10017.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Au_art_10017.jpg.png,,,,,,,0,1
Question 17:,stim/Au_art_20001.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_art_20001.jpg.png,,,,,,,1,1
Question 18:,stim/Au_art_20063.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_art_20063.jpg.png,1,1,,,,,1,1
