txtStim	stimFile	AI_Resp	ExplanationFile	Loop_1.thisRepN	Loop_1.thisTrialN	Loop_1.thisN	Loop_1.thisIndex	Loop_2.thisRepN	Loop_2.thisTrialN	Loop_2.thisN	Loop_2.thisIndex	Loop_3.thisRepN	Loop_3.thisTrialN	Loop_3.thisN	Loop_3.thisIndex	Loop_4.thisRepN	Loop_4.thisTrialN	Loop_4.thisN	Loop_4.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	trials_3.thisRepN	trials_3.thisTrialN	trials_3.thisN	trials_3.thisIndex	trials_4.thisRepN	trials_4.thisTrialN	trials_4.thisN	trials_4.thisIndex	trial_start	Text_Intro_Txt.started	Text_Intro_Txt.stopped	Question_Txt_5.started	Question_Txt_5.stopped	Accept_Deny_Button_5.response	Accept_Deny_Button_5.rt	Accept_Deny_Button_5.started	Accept_Deny_Button_5.stopped	ConfidenceSlider_5.response	ConfidenceSlider_5.rt	ConfidenceSlider_5.started	ConfidenceSlider_5.stopped	DenySlider_5.response	DenySlider_5.rt	DenySlider_5.started	DenySlider_5.stopped	mouse_8.x	mouse_8.y	mouse_8.leftButton	mouse_8.midButton	mouse_8.rightButton	mouse_8.time	mouse_8.clicked_name	mouse_8.started	mouse_8.stopped	Click_to_Continue_8.started	Click_to_Continue_8.stopped	trial_end	Q1_Slider.response	Q2_Slider.response	Q3_Slider.response	Q4_Slider.response	Q5_Slider.response	Q6_Slider.response	Q7_Slider.response	Q8_Slider.response	Q9_Slider.response	Q10_Slider.response	Q11_Slider.response	Q12_Slider.response	Q13_Slider.response	Q14_Slider.response	Q15_Slider.response	Q16_Slider.response	Q17_Slider.response	Q18_Slider.response	Q19_Slider.response	Q20_Slider.response	Q21_Slider.response	Q22_Slider.response	Q23_Slider.response	Conversational_Intro_Txt.started	Conversational_Intro_Txt.stopped	Accept_Deny_Button.response	Accept_Deny_Button.rt	Accept_Deny_Button.started	Accept_Deny_Button.stopped	ConfidenceSlider.response	ConfidenceSlider.rt	ConfidenceSlider.started	ConfidenceSlider.stopped	Experimental_Images.started	Experimental_Images.stopped	DenySlider.response	DenySlider.rt	DenySlider.started	DenySlider.stopped	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	mouse.started	mouse.stopped	Click_to_Continue.started	Click_to_Continue.stopped	Feature_Intro_Txt.started	Feature_Intro_Txt.stopped	Question_Txt_3.started	Question_Txt_3.stopped	Accept_Deny_Button_3.response	Accept_Deny_Button_3.rt	Accept_Deny_Button_3.started	Accept_Deny_Button_3.stopped	ConfidenceSlider_3.response	ConfidenceSlider_3.rt	ConfidenceSlider_3.started	ConfidenceSlider_3.stopped	Experimental_Images_3.started	Experimental_Images_3.stopped	DenySlider_3.response	DenySlider_3.rt	DenySlider_3.started	DenySlider_3.stopped	Click_to_Continue_6.started	Click_to_Continue_6.stopped	PresstoCont_8.started	PresstoCont_8.stopped	Image_Intro_Txt.started	Image_Intro_Txt.stopped	Question_Txt_4.started	Question_Txt_4.stopped	Accept_Deny_Button_4.response	Accept_Deny_Button_4.rt	Accept_Deny_Button_4.started	Accept_Deny_Button_4.stopped	ConfidenceSlider_4.response	ConfidenceSlider_4.rt	ConfidenceSlider_4.started	ConfidenceSlider_4.stopped	Experimental_Images_4.started	Experimental_Images_4.stopped	DenySlider_4.response	DenySlider_4.rt	DenySlider_4.started	DenySlider_4.stopped	mouse_7.x	mouse_7.y	mouse_7.leftButton	mouse_7.midButton	mouse_7.rightButton	mouse_7.time	mouse_7.clicked_name	mouse_7.started	mouse_7.stopped	Click_to_Continue_7.started	Click_to_Continue_7.stopped	PresstoCont_7.started	PresstoCont_7.stopped	Intro_Text.started	Intro_Text.stopped	Stim_slider.response	Stim_slider.rt	Stim_slider.started	Stim_slider.stopped	mouse_5.x	mouse_5.y	mouse_5.leftButton	mouse_5.midButton	mouse_5.rightButton	mouse_5.time	mouse_5.clicked_name	mouse_5.started	mouse_5.stopped	Click_to_Continue_5.started	Click_to_Continue_5.stopped	Choice_1_Intro_Txt.started	Choice_1_Intro_Txt.stopped	Accept_Deny_Button_6.response	Accept_Deny_Button_6.rt	Accept_Deny_Button_6.started	Accept_Deny_Button_6.stopped	ConfidenceSlider_6.response	ConfidenceSlider_6.rt	ConfidenceSlider_6.started	ConfidenceSlider_6.stopped	Experimental_Images_6.started	Experimental_Images_6.stopped	DenySlider_6.response	DenySlider_6.rt	DenySlider_6.started	DenySlider_6.stopped	mouse_9.x	mouse_9.y	mouse_9.leftButton	mouse_9.midButton	mouse_9.rightButton	mouse_9.time	mouse_9.clicked_name	mouse_9.started	mouse_9.stopped	Click_to_Continue_9.started	Click_to_Continue_9.stopped	end_Txt.started	end_Txt.stopped	participant	session	date	expName	psychopyVersion	frameRate
																																																																																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 1:	stim/Au_ani_00027.jpg.png	"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?"	stim/text_based_Au_ani_00027.jpg.png	0	0	0	0																													"Tuesday, August 16, 2022 12:31:46"	114.1709977	124.2304061	124.2040821	None	1	20.1707968	124.2040821	None	5	28.208221	124.2040821	None	3	22.1650475	124.2040821	None	"[-0.5740741, 0.49722221, -0.25462964, 0.5842593]"	"[-0.098148145, -0.17407407, -0.2898148, -0.43055555]"	"[1, 1, 1, 1]"	"[0, 0, 0, 0]"	"[0, 0, 0, 0]"	"[9.971557199954987, 11.962355599971488, 18.02801000000909, 19.341959499986842]"	['Click_to_Continue_8']	10.04901504	None	142.4240517	None	"Tuesday, August 16, 2022 12:32:15"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 2:	stim/Au_cha_30523.jpg	"The AI system has determined that the above image is not authentic. 
Do you accept or deny this claim?"	stim/text_based_Au_cha_30523.jpg.png	0	1	1	1																													"Tuesday, August 16, 2022 12:32:15"	143.5906307	153.6222148	153.5965753	None	2	26.5187391	153.5965753	None	3	42.1914213	153.5965753	None	1	27.9548424	153.5965753	None	"[-0.30833334, -0.31851852, 0.30185184, -0.4564815, -0.5611111, -0.45092592, 0.5638889]"	"[-0.096296296, -0.09259259, -0.19444445, -0.29166666, -0.2935185, -0.30277777, -0.42685184]"	"[1, 1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0]"	"[15.51391790015623, 16.351799000054598, 17.820768300211057, 20.177842600038275, 21.89280360005796, 32.02522450010292, 34.38286100002006]"	['Click_to_Continue_8']	10.01867724	None	173.9697728	None	"Tuesday, August 16, 2022 12:32:59"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 3:	stim/Au_ani_00031.jpg.png	"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?"	stim/text_based_Au_ani_00031.jpg.png	0	2	2	2																													"Tuesday, August 16, 2022 12:33:00"	188.0313804	198.0811482	198.049554	None	1	18.7312675	198.049554	None	5	36.4643666	198.049554	None	1	33.7388518	198.049554	None	"[-0.5861111, 0.30185184, -0.24814814, 0.55925924]"	"[-0.09537037, -0.19722222, -0.3, -0.4398148]"	"[1, 1, 1, 1]"	"[0, 0, 0, 0]"	"[0, 0, 0, 0]"	"[8.49542719987221, 23.562850499991328, 26.30849549989216, 31.045373799977824]"	['Click_to_Continue_8']	10.02414184	None	224.527339	None	"Tuesday, August 16, 2022 12:33:41"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 4:	stim/Tp_D_CNN_S_N_cha10172_cha10171_12283.jpg	"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?"	stim/text_based_Tp_D_CNN_S_N_cha10172_cha10171_12283.jpg.png	0	3	3	3																													"Tuesday, August 16, 2022 12:33:41"	229.1862861	239.2215594	239.19518	None	1	23.736637	239.19518	None	4	38.0943799	239.19518	None	2	26.2694076	239.19518	None	"[-0.57314813, 0.39166668, -0.25277779, -0.34814814, 0.59537035]"	"[-0.10462963, -0.19722222, -0.2935185, -0.2851852, -0.43148148]"	"[1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0]"	"[13.484058500034735, 16.101035699946806, 23.674818800063804, 27.86388870002702, 29.711611700011417]"	['Click_to_Continue_8']	10.02540098	None	263.1197383	None	"Tuesday, August 16, 2022 12:34:20"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 5:	stim/Tp_D_CNN_S_N_sec00042_ani00078_10495.tif	"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?"	stim/text_based_Tp_D_CNN_S_N_sec00042_ani00078_10495.tif.png	0	4	4	4																													"Tuesday, August 16, 2022 12:34:20"	268.9586252	278.9807318	278.9807318	None	2	17.7634374	278.9807318	None	5	43.8686175	278.9807318	None	3	33.3997045	278.9807318	None	"[-0.31111112, -0.31111112, -0.3148148, 0.40462962, 0.48703703, -0.25925925, 0.55185187]"	"[-0.10277778, -0.10277778, -0.09351852, -0.19629629, -0.19907407, -0.29814816, -0.4425926]"	"[1, 1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0]"	"[6.23969790013507, 6.950187199981883, 7.59721070015803, 20.098741400055587, 23.233484300086275, 33.648827500175685, 40.344963300041854]"	['Click_to_Continue_8']	10.02615764	None	312.8677299	None	"Tuesday, August 16, 2022 12:35:11"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 6:	stim/Au_ani_00033.jpg	"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?"	stim/text_based_Au_ani_00033.jpg.png	0	5	5	5																													"Tuesday, August 16, 2022 12:35:11"	319.3835386	329.4282412	329.4009616	None	1	18.2613188	329.4009616	None	4	25.4435213	329.4009616	None	3	20.6875242	329.4009616	None	"[-0.59166664, -0.57314813, 0.5083333, -0.35185185, 0.52037036]"	"[-0.10092592, -0.1, -0.20092593, -0.29907408, -0.43425927]"	"[1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0]"	"[7.239513500127941, 8.04898040019907, 10.506406100001186, 15.263582400046289, 16.564698100090027]"	['Click_to_Continue_8']	10.03151492	None	344.85478	None	"Tuesday, August 16, 2022 12:35:37"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 7:	stim/Tp_D_CRD_S_N_ind00074_cha00049_00474.tif	"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?"	stim/text_based_Tp_D_CRD_S_N_ind00074_cha00049_00474.tif.png	0	6	6	6																													"Tuesday, August 16, 2022 12:35:38"	346.0226679	356.0622299	356.0345648	None	1	16.226943	356.0345648	None	5	25.3464585	356.0345648	None	3	18.68295	356.0345648	None	"[-0.58055556, 0.48240742, -0.25555557, 0.5277778]"	"[-0.08888889, -0.18703704, -0.29722223, -0.43333334]"	"[1, 1, 1, 1]"	"[0, 0, 0, 0]"	"[0, 0, 0, 0]"	"[6.024801899911836, 8.553993499837816, 15.155064200051129, 16.77265439997427]"	['Click_to_Continue_8']	10.02839992	None	371.3863848	None	"Tuesday, August 16, 2022 12:36:04"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 8:	stim/Au_cha_30677.jpg	"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?"	stim/text_based_Au_cha_30677.jpg.png	0	7	7	7																													"Tuesday, August 16, 2022 12:36:04"	372.8615436	382.9098156	382.8738441	None	1	17.8511432	382.8738441	None	3	25.9417902	382.8738441	None	2	21.4786238	382.8738441	None	"[-0.55833334, 0.39814815, -0.44722223, 0.5601852]"	"[-0.09537037, -0.19537038, -0.30092594, -0.4351852]"	"[1, 1, 1, 1]"	"[0, 0, 0, 0]"	"[0, 0, 0, 0]"	"[7.639266500016674, 11.286264300113544, 15.765283599961549, 18.076373300049454]"	['Click_to_Continue_8']	10.02968382	None	398.8331595	None	"Tuesday, August 16, 2022 12:36:32"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
Question 9:	stim/Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg	"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?"	stim/text_based_Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg.png	0	8	8	8																													"Tuesday, August 16, 2022 12:36:32"	401.0013655	411.0275954	411.0275954	None	1	16.4661312	411.0275954	None	5	18.6857104	411.0275954	None	3	20.3821104	411.0275954	None	"[-0.5833333, -0.24722221, 0.48703703, 0.5361111]"	"[-0.09907407, -0.29444444, -0.19907407, -0.44907406]"	"[1, 1, 1, 1]"	"[0, 0, 0, 0]"	"[0, 0, 0, 0]"	"[6.2572681999299675, 8.480294100008905, 10.245578499976546, 12.41672410001047]"	['Click_to_Continue_8']	10.03132064	None	421.4195192	None	"Tuesday, August 16, 2022 12:36:55"																																																																																																																																																						8	1	2022-08-16_12h30.33.394	CSVTrial3	2022.1.3	59.65700796
